Epoch,Train Loss,Train Error,Test Loss,Test Error
1,1.99659824,0.71906,1.56016981,0.5729
2,1.81937173,0.61936,1.39658462,0.4867
3,1.73109109,0.56946,1.30877836,0.4525
4,1.66752717,0.5393,1.2269871,0.4152
5,1.62364402,0.51798,1.19510624,0.4037
6,1.58634447,0.49808,1.12087166,0.367
7,1.55610487,0.48288,1.09241773,0.3558
8,1.5248978,0.46898,1.06512127,0.3379
9,1.49690784,0.4537,1.02999473,0.334
10,1.47304104,0.44214,1.02415601,0.3233
11,1.45425156,0.43374,1.00430733,0.3166
12,1.43365807,0.42236,0.987714002,0.3126
13,1.42062566,0.41654,0.949222947,0.2955
14,1.40297809,0.40872,0.938993903,0.2834
15,1.38716617,0.404,0.920935161,0.286
16,1.37282751,0.39804,0.875419006,0.2623
17,1.36103079,0.392,0.873985341,0.2639
18,1.35038521,0.38754,0.868559598,0.2507
19,1.33661157,0.38212,0.858098089,0.2491
20,1.33184129,0.37822,0.844759663,0.2546
21,1.31847645,0.37486,0.813290396,0.2432
22,1.30869657,0.36928,0.805022693,0.237
23,1.30285012,0.36796,0.792348455,0.2384
24,1.29175571,0.36462,0.779828537,0.2292
25,1.28541119,0.3627,0.766544766,0.2307
26,1.27424196,0.35666,0.801909064,0.2354
27,1.27044872,0.35578,0.814436499,0.2378
28,1.25759045,0.35008,0.793026282,0.2309
29,1.25303619,0.3483,0.787787637,0.2323
30,1.24388088,0.34576,0.765218144,0.22
31,1.23887104,0.3451,0.777338734,0.2255
32,1.23264784,0.34078,0.761344997,0.2231
33,1.22356961,0.33832,0.786203783,0.2337
34,1.22125009,0.33794,0.761192033,0.2187
35,1.2141634,0.33676,0.752716803,0.2153
36,1.2056098,0.33244,0.755888191,0.2188
37,1.20125601,0.33226,0.742006319,0.2113
38,1.19184501,0.32866,0.749607811,0.2159
39,1.19036483,0.32572,0.740644002,0.2068
40,1.18546419,0.32694,0.73143263,0.2107
41,1.17910246,0.32522,0.745278507,0.2082
42,1.17160147,0.32148,0.721606671,0.2071
43,1.16439474,0.31984,0.741955084,0.2143
44,1.1612132,0.31842,0.712081947,0.2026
45,1.15654283,0.31784,0.728225135,0.2059
46,1.15141172,0.31586,0.745630692,0.2114
47,1.1481572,0.31552,0.728166553,0.2024
48,1.14319893,0.31326,0.727739562,0.209
49,1.1334079,0.31096,0.706889839,0.2033
50,1.12989414,0.30834,0.725869644,0.2053
51,1.12397648,0.30726,0.745720705,0.2143
52,1.12029027,0.3076,0.734877642,0.2094
53,1.11452849,0.30738,0.703681308,0.2013
54,1.10855309,0.30374,0.699650531,0.1982
55,1.10550466,0.30248,0.728575336,0.2039
56,1.09728276,0.3014,0.750843369,0.2039
57,1.09555075,0.3022,0.697756044,0.1975
58,1.09047893,0.29896,0.723978326,0.2112
59,1.08759934,0.29992,0.716784499,0.2012
60,1.07939102,0.29902,0.741260048,0.2019
61,1.07575157,0.29668,0.731534497,0.2044
62,1.06581478,0.29428,0.738410019,0.2077
63,1.06360286,0.29208,0.702457207,0.2006
64,1.06277831,0.29278,0.704534077,0.2023
65,1.05388007,0.29276,0.731031771,0.2059
66,1.05274503,0.2898,0.688055798,0.201
67,1.04684744,0.29076,0.730018165,0.2041
68,1.03991381,0.28898,0.728597493,0.2067
69,1.03822673,0.28908,0.737100045,0.2079
70,1.02716114,0.28444,0.723427795,0.2036
71,1.02500127,0.2857,0.70804786,0.2079
72,1.02135925,0.28434,0.74875533,0.2121
73,1.01668759,0.28404,0.739131028,0.2071
74,1.01303521,0.28274,0.76427228,0.2154
75,1.01036651,0.2833,0.763381696,0.2097
76,1.00055868,0.27938,0.752991996,0.213
77,0.997080523,0.27904,0.749178199,0.2073
78,0.996919547,0.2782,0.770616973,0.2132
79,0.985058477,0.27742,0.804143086,0.2132
80,0.981692284,0.277,0.756479568,0.2079
81,0.981824278,0.27704,0.766483219,0.2145
82,0.977214174,0.2753,0.737038631,0.2073
83,0.970062906,0.27398,0.747798061,0.2157
84,0.96415903,0.27342,0.744953799,0.2104
85,0.956404307,0.27124,0.773638219,0.2193
86,0.957279972,0.27122,0.754205576,0.2094
87,0.952956777,0.27028,0.788933135,0.2329
88,0.950442989,0.26934,0.751073902,0.215
89,0.941585406,0.26936,0.806712674,0.2222
90,0.938851864,0.2666,0.750469979,0.2147
91,0.934811903,0.26588,0.765952001,0.2146
92,0.933582604,0.2672,0.786079069,0.2242
93,0.926837189,0.265,0.787125963,0.2222
94,0.924105318,0.26486,0.799822076,0.2242
95,0.913247696,0.26336,0.772374411,0.2206
96,0.910973815,0.26112,0.814812064,0.2308
97,0.910252293,0.26134,0.775071174,0.2263
98,0.905047014,0.26018,0.758529776,0.2236
99,0.896319771,0.25946,0.764009312,0.2217
100,0.893951015,0.258,0.805482622,0.2308
101,0.891736071,0.25844,0.781241508,0.2254
102,0.887791457,0.25826,0.795493157,0.2276
103,0.882032504,0.25474,0.77129164,0.2248
104,0.877354719,0.25644,0.780760498,0.226
105,0.874255644,0.256,0.791152717,0.2264
106,0.868112004,0.25172,0.848968725,0.2387
107,0.863710556,0.25352,0.836065512,0.2328
108,0.860974365,0.25194,0.806939259,0.2362
109,0.858177385,0.2523,0.82911718,0.237
110,0.853495847,0.25124,0.804474166,0.2295
111,0.847187077,0.2493,0.831053282,0.2422
112,0.84906942,0.25122,0.829763725,0.2394
113,0.842833109,0.24898,0.799720709,0.2258
114,0.838443326,0.2468,0.817246102,0.2343
115,0.828532571,0.24656,0.805319154,0.2318
116,0.826494677,0.24684,0.832783719,0.2384
117,0.828535567,0.24616,0.817729438,0.2346
118,0.814609223,0.24262,0.830694743,0.2413
119,0.820351038,0.24468,0.835307598,0.2404
120,0.816880642,0.24418,0.842837321,0.2426
121,0.810627005,0.24218,0.80387282,0.23
122,0.80676968,0.24012,0.822031875,0.2376
123,0.802068317,0.23928,0.849778247,0.2409
124,0.800006794,0.24138,0.862731876,0.2491
125,0.79427971,0.23926,0.851573173,0.2499
126,0.793550768,0.2382,0.878000481,0.2514
127,0.787692306,0.23838,0.866383991,0.2462
128,0.78100809,0.23636,0.883805094,0.2484
129,0.777695982,0.23342,0.899642951,0.2614
130,0.782241816,0.23632,0.856348428,0.2435
131,0.770607474,0.2339,0.89637989,0.2578
132,0.769053177,0.23344,0.886534916,0.2483
133,0.766356831,0.23252,0.893607497,0.2537
134,0.764962818,0.234,0.91532652,0.2675
135,0.760399895,0.23146,0.868954734,0.2497
136,0.757172677,0.23108,0.869671889,0.2494
137,0.747636223,0.22826,0.907343694,0.262
138,0.74937573,0.2287,0.872440551,0.2474
139,0.741513683,0.22668,0.855171607,0.2474
140,0.743091933,0.22878,0.890662939,0.2529
141,0.733396598,0.2257,0.882999645,0.255
142,0.737875884,0.22768,0.888505919,0.2541
143,0.72631919,0.22388,0.925550778,0.2659
144,0.722338606,0.2238,0.900872034,0.2583
145,0.726296194,0.22432,0.936521672,0.2694
146,0.714299432,0.22134,0.909410746,0.2579
147,0.712493254,0.21988,0.928842731,0.2676
148,0.716086143,0.22156,0.9593667,0.2804
149,0.714339475,0.22246,0.910409207,0.2579
150,0.702022595,0.21828,0.943874275,0.2626
151,0.699378831,0.21898,0.888055572,0.2527
152,0.704192748,0.21882,0.930072427,0.2672
153,0.697636587,0.21784,0.943959326,0.2648
154,0.696712651,0.21758,0.993373875,0.2872
155,0.694506958,0.2171,0.973110281,0.2825
156,0.693009295,0.21842,0.920276181,0.2588
157,0.690923777,0.2155,0.970707638,0.2782
158,0.685893977,0.21368,0.917560645,0.2554
159,0.675655136,0.21334,0.918060408,0.2643
160,0.680195907,0.21452,0.987135358,0.2852
161,0.675072917,0.21276,0.952529557,0.2699
162,0.671455333,0.21134,0.960647835,0.2705
163,0.667686846,0.20982,0.953897182,0.267
164,0.664990488,0.2097,0.949689529,0.2634
165,0.653705752,0.20844,0.995419173,0.2769
166,0.657442428,0.2076,0.94190447,0.2648
167,0.651845835,0.20548,1.01379104,0.2875
168,0.652285731,0.20712,0.949638777,0.2682
169,0.64776616,0.20448,0.981597868,0.2744
170,0.643572248,0.2057,0.974722593,0.2652
171,0.64817201,0.20626,0.967760934,0.2643
172,0.639397356,0.2047,1.01559922,0.2829
173,0.638707602,0.20418,0.97138818,0.2691
174,0.63156181,0.20204,0.976027896,0.2756
175,0.632452427,0.20194,1.00381305,0.2813
176,0.633386991,0.20314,0.984217855,0.2714
177,0.624509348,0.19828,0.995017922,0.2716
178,0.623493354,0.19884,0.971356412,0.2732
179,0.62262413,0.19944,1.00662069,0.2797
180,0.617982124,0.19816,1.04735616,0.2893
181,0.61885007,0.19946,0.961633509,0.2644
182,0.614856399,0.19886,0.981240634,0.2762
183,0.614198624,0.19834,0.966422889,0.2675
184,0.607174229,0.19454,1.04667066,0.2913
185,0.608803521,0.19502,1.01403185,0.2767
186,0.603533382,0.19448,1.04030158,0.2905
187,0.596439411,0.19322,1.04341884,0.2926
188,0.595758159,0.1939,1.01213492,0.2782
189,0.597265513,0.1939,1.0303082,0.2797
190,0.588261693,0.18944,1.02304998,0.2886
191,0.594372561,0.19212,1.0152855,0.276
192,0.587318346,0.1895,1.03127093,0.287
193,0.587002309,0.19178,1.07003396,0.2978
194,0.580433302,0.18996,0.997905334,0.2734
195,0.580121673,0.18996,1.02829959,0.282
196,0.580980247,0.18916,0.978354215,0.2699
197,0.571371521,0.18606,1.01969779,0.2816
198,0.57276022,0.1876,1.07378263,0.2915
199,0.572866647,0.18746,1.04081197,0.274
200,0.568816363,0.18656,1.01954885,0.2749
201,0.571148425,0.18514,1.07962335,0.2934
202,0.564026589,0.18346,1.10429515,0.3025
203,0.562683662,0.18374,1.05902192,0.2896
204,0.565573913,0.18536,1.0547165,0.286
205,0.56266397,0.18502,1.07501024,0.2908
206,0.552159919,0.18208,1.07184838,0.2859
207,0.555616849,0.18224,1.03290089,0.2745
208,0.550557261,0.17902,1.08327992,0.2856
209,0.555141953,0.18302,1.09750667,0.2997
210,0.551595669,0.18266,1.0681901,0.2813
211,0.541894145,0.17984,1.0935745,0.2913
212,0.54197544,0.1776,1.08053255,0.29
213,0.551657677,0.18226,1.05619532,0.29
214,0.534238187,0.17492,1.10136041,0.2909
215,0.536402218,0.17672,1.10349662,0.2878
216,0.540078943,0.1784,1.08856321,0.2868
217,0.527800938,0.17368,1.08005573,0.2913
218,0.53108136,0.17456,1.11101,0.2972
219,0.528073655,0.17216,1.08037405,0.2859
220,0.529859269,0.17502,1.08401473,0.2835
221,0.525735619,0.17418,1.14759186,0.3093
222,0.523223421,0.17156,1.10296615,0.2888
223,0.516615489,0.16966,1.11358357,0.2914
224,0.521286136,0.17314,1.17174576,0.3089
225,0.51176994,0.16976,1.12205177,0.2944
226,0.512009332,0.1689,1.15151436,0.3007
227,0.51144734,0.171,1.07922403,0.2758
228,0.510764191,0.16984,1.12813721,0.2969
229,0.511854778,0.17074,1.09535331,0.2879
230,0.510333262,0.1713,1.14325304,0.2978
231,0.506865481,0.16926,1.16743337,0.3075
232,0.504939956,0.16746,1.09605285,0.2869
233,0.506170608,0.16966,1.17072148,0.3059
234,0.494222193,0.1652,1.09085473,0.2814
235,0.493926252,0.1629,1.12799114,0.2925
236,0.497549533,0.1677,1.13937982,0.295
237,0.489567787,0.1623,1.17122226,0.3026
238,0.489644863,0.16168,1.08489049,0.2799
239,0.490916162,0.16418,1.13366025,0.2978
240,0.486021132,0.16218,1.19200334,0.3089
241,0.490542947,0.16428,1.12034459,0.286
242,0.482427006,0.1617,1.14746845,0.2943
243,0.479818109,0.15872,1.15316623,0.2944
244,0.484400181,0.16326,1.16358597,0.289
245,0.480033525,0.16122,1.16171637,0.2944
246,0.480266431,0.16168,1.12265336,0.2824
247,0.478465622,0.15966,1.13457852,0.2912
248,0.47626764,0.15982,1.14482686,0.286
249,0.467885219,0.15748,1.19010207,0.3036
250,0.471115088,0.15928,1.18238276,0.2989
251,0.46889004,0.158,1.21164405,0.3065
252,0.474296737,0.15806,1.19022269,0.3007
253,0.461930279,0.15568,1.16055561,0.2964
254,0.470206045,0.15878,1.15613937,0.2886
255,0.463946445,0.15676,1.169041,0.2881
256,0.466101442,0.15802,1.22794224,0.3198
257,0.458976979,0.15368,1.17304967,0.2953
